W0406 08:46:12.767000 1816891 torch/distributed/run.py:803] 
W0406 08:46:12.767000 1816891 torch/distributed/run.py:803] *****************************************
W0406 08:46:12.767000 1816891 torch/distributed/run.py:803] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0406 08:46:12.767000 1816891 torch/distributed/run.py:803] *****************************************
[Gloo] Rank 0 is connected to 3 peer ranks. Expected number of connected peer ranks is : 3
[Gloo] Rank 1 is connected to 3 peer ranks. Expected number of connected peer ranks is : 3
[Gloo] Rank 3 is connected to [Gloo] Rank 3 peer ranks. Expected number of connected peer ranks is : 23 is connected to 3
 peer ranks. Expected number of connected peer ranks is : 3
[Gloo] Rank 0 is connected to 3 peer ranks. Expected number of connected peer ranks is : 3
[Gloo] Rank 1 is connected to 3 peer ranks. Expected number of connected peer ranks is : 3
[Gloo] Rank 2 is connected to 3 peer ranks. Expected number of connected peer ranks is : 3
[Gloo] Rank 3 is connected to 3 peer ranks. Expected number of connected peer ranks is : 3
[aiter] import [module_aiter_enum] under /usr/local/lib/python3.12/dist-packages/aiter/jit/module_aiter_enum.so
[aiter] import [module_aiter_enum] under /usr/local/lib/python3.12/dist-packages/aiter/jit/module_aiter_enum.so
[aiter] import [module_aiter_enum] under /usr/local/lib/python3.12/dist-packages/aiter/jit/module_aiter_enum.so
[aiter] import [module_aiter_enum] under /usr/local/lib/python3.12/dist-packages/aiter/jit/module_aiter_enum.so
[aiter] import [module_custom_all_reduce] under /usr/local/lib/python3.12/dist-packages/aiter/jit/module_custom_all_reduce.so
[aiter] import [module_custom_all_reduce] under /usr/local/lib/python3.12/dist-packages/aiter/jit/module_custom_all_reduce.so
[aiter] import [module_custom_all_reduce] under /usr/local/lib/python3.12/dist-packages/aiter/jit/module_custom_all_reduce.so
[aiter] import [module_custom_all_reduce] under /usr/local/lib/python3.12/dist-packages/aiter/jit/module_custom_all_reduce.so
/root/bench_kernels/allreduce/csrc/custom_all_reduce.cuh -> /root/bench_kernels/allreduce/csrc/custom_all_reduce.cuh [skipped, no changes]
/root/bench_kernels/allreduce/csrc/custom_all_reduce.cu -> /root/bench_kernels/allreduce/csrc/custom_all_reduce.hip [skipped, already hipified]
/root/bench_kernels/allreduce/csrc/custom_all_reduce_pybind.cu -> /root/bench_kernels/allreduce/csrc/custom_all_reduce_pybind.hip [skipped, already hipified]
/root/bench_kernels/allreduce/csrc/custom_all_reduce.cuh -> /root/bench_kernels/allreduce/csrc/custom_all_reduce.cuh [skipped, no changes]
[92mSuccessfully preprocessed all matching files.[0m
Total number of unsupported CUDA function calls: 0


Total number of replaced kernel launches: 0
ninja: no work to do.
aiter: OK, vllm: OK, dev: OK

Verifying correctness (50 rounds × 3 sizes × 2 dtypes)...
byts: 512, size: 32, blocks: 1, eles: 1.000
byts: 16384, size: 1024, blocks: 2, eles: 1.000
byts: 8192, size: 512, blocks: 1, eles: 1.000
byts: 2097152, size: 131072, blocks: 64, eles: 4.000
byts: 1048576, size: 65536, blocks: 64, eles: 2.000
byts: 512, size: 32, blocks: 1, eles: 1.000
byts: 256, size: 16, blocks: 1, eles: 1.000
byts: 16384, size: 1024, blocks: 2, eles: 1.000
byts: 8192, size: 512, blocks: 1, eles: 1.000
byts: 2097152, size: 131072, blocks: 64, eles: 4.000
byts: 1048576, size: 65536, blocks: 64, eles: 2.000
byts: 512, size: 32, blocks: 1, eles: 1.000
byts: 256, size: 16, blocks: 1, eles: 1.000
byts: 16384, size: 1024, blocks: 2, eles: 1.000
byts: 8192, size: 512, blocks: 1, eles: 1.000
byts: 2097152, size: 131072, blocks: 64, eles: 4.000
byts: 1048576, size: 65536, blocks: 64, eles: 2.000
byts: 512, size: 32, blocks: 1, eles: 1.000
byts: 256, size: 16, blocks: 1, eles: 1.000
byts: 16384, size: 1024, blocks: 2, eles: 1.000
byts: 8192, size: 512, blocks: 1, eles: 1.000
byts: 2097152, size: 131072, blocks: 64, eles: 4.000
byts: 1048576, size: 65536, blocks: 64, eles: 2.000
byts: 512, size: 32, blocks: 1, eles: 1.000
byts: 256, size: 16, blocks: 1, eles: 1.000
byts: 16384, size: 1024, blocks: 2, eles: 1.000
byts: 8192, size: 512, blocks: 1, eles: 1.000
byts: 2097152, size: 131072, blocks: 64, eles: 4.000
byts: 1048576, size: 65536, blocks: 64, eles: 2.000
byts: 512, size: 32, blocks: 1, eles: 1.000
byts: 256, size: 16, blocks: 1, eles: 1.000
byts: 16384, size: 1024, blocks: 2, eles: 1.000
byts: 8192, size: 512, blocks: 1, eles: 1.000
byts: 2097152, size: 131072, blocks: 64, eles: 4.000
byts: 1048576, size: 65536, blocks: 64, eles: 2.000
byts: 512, size: 32, blocks: 1, eles: 1.000
byts: 256, size: 16, blocks: 1, eles: 1.000
byts: 16384, size: 1024, blocks: 2, eles: 1.000
byts: 8192, size: 512, blocks: 1, eles: 1.000
byts: 2097152, size: 131072, blocks: 64, eles: 4.000
byts: 1048576, size: 65536, blocks: 64, eles: 2.000
byts: 512, size: 32, blocks: 1, eles: 1.000
byts: 256, size: 16, blocks: 1, eles: 1.000
byts: 16384, size: 1024, blocks: 2, eles: 1.000
byts: 8192, size: 512, blocks: 1, eles: 1.000
byts: 2097152, size: 131072, blocks: 64, eles: 4.000
byts: 1048576, size: 65536, blocks: 64, eles: 2.000
byts: 512, size: 32, blocks: 1, eles: 1.000
byts: 256, size: 16, blocks: 1, eles: 1.000
byts: 16384, size: 1024, blocks: 2, eles: 1.000
byts: 8192, size: 512, blocks: 1, eles: 1.000
byts: 2097152, size: 131072, blocks: 64, eles: 4.000
byts: 1048576, size: 65536, blocks: 64, eles: 2.000
byts: 512, size: 32, blocks: 1, eles: 1.000
byts: 256, size: 16, blocks: 1, eles: 1.000
byts: 16384, size: 1024, blocks: 2, eles: 1.000
byts: 8192, size: 512, blocks: 1, eles: 1.000
byts: 2097152, size: 131072, blocks: 64, eles: 4.000
byts: 1048576, size: 65536, blocks: 64, eles: 2.000
byts: 512, size: 32, blocks: 1, eles: 1.000
byts: 256, size: 16, blocks: 1, eles: 1.000
byts: 16384, size: 1024, blocks: 2, eles: 1.000
byts: 8192, size: 512, blocks: 1, eles: 1.000
byts: 2097152, size: 131072, blocks: 64, eles: 4.000
byts: 1048576, size: 65536, blocks: 64, eles: 2.000
byts: 512, size: 32, blocks: 1, eles: 1.000
byts: 256, size: 16, blocks: 1, eles: 1.000
byts: 16384, size: 1024, blocks: 2, eles: 1.000
byts: 8192, size: 512, blocks: 1, eles: 1.000
byts: 2097152, size: 131072, blocks: 64, eles: 4.000
byts: 1048576, size: 65536, blocks: 64, eles: 2.000
byts: 512, size: 32, blocks: 1, eles: 1.000
byts: 256, size: 16, blocks: 1, eles: 1.000
byts: 16384, size: 1024, blocks: 2, eles: 1.000
byts: 8192, size: 512, blocks: 1, eles: 1.000
byts: 2097152, size: 131072, blocks: 64, eles: 4.000
byts: 1048576, size: 65536, blocks: 64, eles: 2.000
byts: 512, size: 32, blocks: 1, eles: 1.000
byts: 256, size: 16, blocks: 1, eles: 1.000
byts: 16384, size: 1024, blocks: 2, eles: 1.000
byts: 8192, size: 512, blocks: 1, eles: 1.000
byts: 2097152, size: 131072, blocks: 64, eles: 4.000
byts: 1048576, size: 65536, blocks: 64, eles: 2.000
byts: 512, size: 32, blocks: 1, eles: 1.000
byts: 256, size: 16, blocks: 1, eles: 1.000
byts: 16384, size: 1024, blocks: 2, eles: 1.000
byts: 8192, size: 512, blocks: 1, eles: 1.000
byts: 2097152, size: 131072, blocks: 64, eles: 4.000
byts: 1048576, size: 65536, blocks: 64, eles: 2.000
byts: 512, size: 32, blocks: 1, eles: 1.000
byts: 256, size: 16, blocks: 1, eles: 1.000
byts: 16384, size: 1024, blocks: 2, eles: 1.000
byts: 8192, size: 512, blocks: 1, eles: 1.000
byts: 2097152, size: 131072, blocks: 64, eles: 4.000
byts: 1048576, size: 65536, blocks: 64, eles: 2.000
byts: 512, size: 32, blocks: 1, eles: 1.000
byts: 256, size: 16, blocks: 1, eles: 1.000
byts: 16384, size: 1024, blocks: 2, eles: 1.000
byts: 8192, size: 512, blocks: 1, eles: 1.000
byts: 2097152, size: 131072, blocks: 64, eles: 4.000
byts: 1048576, size: 65536, blocks: 64, eles: 2.000
byts: 512, size: 32, blocks: 1, eles: 1.000
byts: 256, size: 16, blocks: 1, eles: 1.000
byts: 16384, size: 1024, blocks: 2, eles: 1.000
byts: 8192, size: 512, blocks: 1, eles: 1.000
byts: 2097152, size: 131072, blocks: 64, eles: 4.000
byts: 1048576, size: 65536, blocks: 64, eles: 2.000
byts: 512, size: 32, blocks: 1, eles: 1.000
byts: 256, size: 16, blocks: 1, eles: 1.000
byts: 16384, size: 1024, blocks: 2, eles: 1.000
byts: 8192, size: 512, blocks: 1, eles: 1.000
byts: 2097152, size: 131072, blocks: 64, eles: 4.000
byts: 1048576, size: 65536, blocks: 64, eles: 2.000
byts: 512, size: 32, blocks: 1, eles: 1.000
byts: 256, size: 16, blocks: 1, eles: 1.000
byts: 16384, size: 1024, blocks: 2, eles: 1.000
byts: 8192, size: 512, blocks: 1, eles: 1.000
byts: 2097152, size: 131072, blocks: 64, eles: 4.000
byts: 1048576, size: 65536, blocks: 64, eles: 2.000
byts: 512, size: 32, blocks: 1, eles: 1.000
byts: 256, size: 16, blocks: 1, eles: 1.000
byts: 16384, size: 1024, blocks: 2, eles: 1.000
byts: 8192, size: 512, blocks: 1, eles: 1.000
byts: 2097152, size: 131072, blocks: 64, eles: 4.000
byts: 1048576, size: 65536, blocks: 64, eles: 2.000
byts: 512, size: 32, blocks: 1, eles: 1.000
byts: 256, size: 16, blocks: 1, eles: 1.000
byts: 16384, size: 1024, blocks: 2, eles: 1.000
byts: 8192, size: 512, blocks: 1, eles: 1.000
byts: 2097152, size: 131072, blocks: 64, eles: 4.000
byts: 1048576, size: 65536, blocks: 64, eles: 2.000
byts: 512, size: 32, blocks: 1, eles: 1.000
byts: 256, size: 16, blocks: 1, eles: 1.000
byts: 16384, size: 1024, blocks: 2, eles: 1.000
byts: 8192, size: 512, blocks: 1, eles: 1.000
byts: 2097152, size: 131072, blocks: 64, eles: 4.000
byts: 1048576, size: 65536, blocks: 64, eles: 2.000
All verified OK (1200 checks passed).

====================================================================================================
Pattern: f32 | dtype=torch.float32 | shape=(tokens, 2)
====================================================================================================
  tokens            shape     size   aiter/us   aiter/bw       vllm_1s/us vllm_1s/bw       vllm_2s/us vllm_2s/bw           dev/us     dev/bw      
--------------------------------------------------------------------------------------------------------------------------------------------------
INFO 04-06 08:46:47 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:47 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:47 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:47 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:47 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:47 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:47 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:47 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
byts: 32, size: 2, blocks: 1, eles: 1.000
       4           (4, 2)      32B       4.1u       0.0G     *       4.3u       0.0G   95%       4.9u       0.0G   83%       4.1u       0.0G  100%
INFO 04-06 08:46:48 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:48 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:48 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:48 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:48 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:48 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:48 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:48 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
byts: 64, size: 4, blocks: 1, eles: 1.000
       8           (8, 2)      64B       4.1u       0.0G   99%       4.1u       0.0G     *       4.9u       0.0G   83%       4.1u       0.0G   99%
INFO 04-06 08:46:48 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:48 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:48 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:48 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:48 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:48 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:48 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:48 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
byts: 128, size: 8, blocks: 1, eles: 1.000
      16          (16, 2)     128B       4.1u       0.0G   99%       4.1u       0.0G     *       4.9u       0.0G   83%       4.1u       0.0G  100%
INFO 04-06 08:46:49 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:49 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:49 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:49 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:49 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:49 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:49 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:49 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
byts: 256, size: 16, blocks: 1, eles: 1.000
      32          (32, 2)     256B       4.2u       0.1G   98%       4.1u       0.1G   99%       4.9u       0.1G   83%       4.1u       0.1G     *
INFO 04-06 08:46:49 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:49 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:49 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:49 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:49 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:49 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:49 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:49 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
byts: 512, size: 32, blocks: 1, eles: 1.000
      64          (64, 2)     512B       4.2u       0.2G   98%       4.1u       0.2G  100%       4.9u       0.2G   83%       4.1u       0.2G     *
INFO 04-06 08:46:50 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:50 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:50 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:50 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:50 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:50 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:50 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:50 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
byts: 1024, size: 64, blocks: 1, eles: 1.000
     128         (128, 2)     1.0K       4.2u       0.4G   98%       4.2u       0.4G   99%       4.9u       0.3G   84%       4.1u       0.4G     *
INFO 04-06 08:46:50 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:50 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
INFO 04-06 08:46:50 [custom_all_reduce.py:215] Registering 20 cuda graph addresses
